c
c This is glucose 4.0 --  based on MiniSAT (Many thanks to MiniSAT team)
c
c ========================================[ Problem Statistics ]===========================================
c |                                                                                                       |
c |  Number of variables:         59600                                                                   |
c |  Number of clauses:         6514477                                                                   |
c |  Parse time:                   0.92 s                                                                 |
c |                                                                                                       |
c | Preprocesing is fully done
c Too many clauses... No preprocessing
c |  Simplification time:          0.19 s                                                                 |
c |                                                                                                       |
c ========================================[ MAGIC CONSTANTS ]==============================================
c | Constants are supposed to work well together :-)                                                      |
c | however, if you find better choices, please let us known...                                           |
c |-------------------------------------------------------------------------------------------------------|
c | Adapt dynamically the solver after 100000 conflicts (restarts, reduction strategies...)               |
c |-------------------------------------------------------------------------------------------------------|
c |                                |                                |                                     |
c | - Restarts:                    | - Reduce Clause DB:            | - Minimize Asserting:               |
c |   * LBD Queue    :     50      |   * First     :   2000         |    * size <  30                     |
c |   * Trail  Queue :   5000      |   * Inc       :    300         |    * lbd  <   6                     |
c |   * K            :   0.80      |   * Special   :   1000         |                                     |
c |   * R            :   1.40      |   * Protected :  (lbd)< 30     |                                     |
c |                                |                                |                                     |
c ==================================[ Search Statistics (every  10000 conflicts) ]=========================
c |                                                                                                       |
c |          RESTARTS           |          ORIGINAL         |              LEARNT              | Progress |
c |       NB   Blocked  Avg Cfc |    Vars  Clauses Literals |   Red   Learnts    LBD2  Removed |          |
c =========================================================================================================
c |       57         0      175 |   59014  6514477 13138854 |     2     6054      451     3502 |  0.983 % |
c |       99        84      202 |   58813  6514477 13138854 |     3    11032      655     8382 |  1.320 % |
c |      162       171      185 |   58600  6227234 12564368 |     4    12981      969    15651 |  1.678 % |
c |      200       264      200 |   58524  6227234 12564368 |     5    13461     1233    25116 |  1.805 % |
c |      228       321      219 |   58424  6227234 12564368 |     5    23388     1426    25116 |  1.973 % |
c |      273       383      219 |   58359  6176585 12463070 |     6    20961     1588    37300 |  2.082 % |
c |      309       441      226 |   58296  6176585 12463070 |     7    16344     1746    51870 |  2.188 % |
c |      335       502      238 |   58239  6176585 12463070 |     7    26304     1903    51870 |  2.284 % |
c |      370       556      243 |   58188  6141172 12392244 |     8    18669     2068    69258 |  2.369 % |
c |      412       619      242 |   58139  6141172 12392244 |     8    28635     2222    69258 |  2.451 % |
c
c Try to adapt solver strategies
c 
c Nothing extreme in this problem, continue with glucose default strategies.
c
c |      445       673      247 |   58087  6141172 12392244 |     8    38591     2367    69258 |  2.539 % |
c |      473       739      253 |   58015  6115518 12340936 |     9    28497     2522    89170 |  2.659 % |
c |      513       801      253 |   57965  6115518 12340936 |     9    38463     2692    89170 |  2.743 % |
c |      550       860      254 |   57933  6090849 12291598 |    10    25590     2830   111890 |  2.797 % |
c |      580       914      258 |   57869  6090849 12291598 |    10    35551     3026   111890 |  2.904 % |
c |      642       989      249 |   57771  6090849 12291598 |    10    45462     3212   111890 |  3.069 % |
c |      671      1062      253 |   56158  5394111 10895042 |    11    29123     3351   137086 |  5.775 % |
c |      715      1111      251 |   56130  5394111 10895042 |    11    39106     3491   137086 |  5.822 % |
c |      746      1170      254 |   56117  5383806 10874432 |    11    48992     3629   137086 |  5.844 % |
c |      776      1220      257 |   56091  5383806 10874432 |    12    31830     3765   164232 |  5.888 % |
c |      801      1282      262 |   56064  5383806 10874432 |    12    41810     3902   164232 |  5.933 % |
c |      828      1336      265 |   56033  5373245 10853310 |    12    51621     4019   164232 |  5.985 % |
c |      870      1391      264 |   56017  5373245 10853310 |    13    31766     4144   194078 |  6.012 % |
c |      897      1441      267 |   55973  5365115 10837050 |    13    41668     4289   194078 |  6.086 % |
c |      929      1481      269 |   55933  5365115 10837050 |    13    51637     4445   194078 |  6.153 % |
c |      965      1548      269 |   55912  5351936 10810692 |    13    61481     4597   194078 |  6.188 % |
c |      998      1611      270 |   55884  5351936 10810692 |    14    38728     4713   226811 |  6.235 % |
c |     1032      1665      271 |   55857  5341493 10789806 |    14    48603     4820   226811 |  6.280 % |
c |     1060      1715      273 |   55842  5341493 10789806 |    14    58597     4997   226811 |  6.305 % |
c |     1095      1769      273 |   55824  5336331 10779482 |    14    68507     5148   226811 |  6.336 % |
c |     1124      1822      275 |   55812  5336331 10779482 |    15    43062     5315   262245 |  6.356 % |
c |     1154      1873      277 |   55786  5331029 10768878 |    15    52979     5448   262245 |  6.399 % |
c |     1183      1919      278 |   55766  5331029 10768878 |    15    62964     5572   262245 |  6.433 % |
c |     1227      1970      277 |   55738  5321323 10749466 |    15    72856     5690   262245 |  6.480 % |
c |     1260      2021      277 |   55726  5321323 10749466 |    16    44475     5855   300619 |  6.500 % |
c |     1283      2087      280 |   55711  5316509 10739838 |    16    54397     6012   300619 |  6.525 % |
c |     1319      2131      280 |   55691  5311246 10729312 |    16    64365     6162   300619 |  6.559 % |
c |     1353      2194      280 |   55672  5311246 10729312 |    16    74351     6272   300619 |  6.591 % |
c |     1382      2249      282 |   55657  5306052 10718924 |    17    43863     6421   341016 |  6.616 % |
