c
c This is glucose 4.0 --  based on MiniSAT (Many thanks to MiniSAT team)
c
c ========================================[ Problem Statistics ]===========================================
c |                                                                                                       |
c |  Number of variables:         29910                                                                   |
c |  Number of clauses:         1963918                                                                   |
c |  Parse time:                   0.31 s                                                                 |
c |                                                                                                       |
c | Preprocesing is fully done
c |  Eliminated clauses:           0.08 Mb                                                                |
c |  Simplification time:          2.16 s                                                                 |
c |                                                                                                       |
c ========================================[ MAGIC CONSTANTS ]==============================================
c | Constants are supposed to work well together :-)                                                      |
c | however, if you find better choices, please let us known...                                           |
c |-------------------------------------------------------------------------------------------------------|
c | Adapt dynamically the solver after 100000 conflicts (restarts, reduction strategies...)               |
c |-------------------------------------------------------------------------------------------------------|
c |                                |                                |                                     |
c | - Restarts:                    | - Reduce Clause DB:            | - Minimize Asserting:               |
c |   * LBD Queue    :     50      |   * First     :   2000         |    * size <  30                     |
c |   * Trail  Queue :   5000      |   * Inc       :    300         |    * lbd  <   6                     |
c |   * K            :   0.80      |   * Special   :   1000         |                                     |
c |   * R            :   1.40      |   * Protected :  (lbd)< 30     |                                     |
c |                                |                                |                                     |
c ==================================[ Search Statistics (every  10000 conflicts) ]=========================
c |                                                                                                       |
c |          RESTARTS           |          ORIGINAL         |              LEARNT              | Progress |
c |       NB   Blocked  Avg Cfc |    Vars  Clauses Literals |   Red   Learnts    LBD2  Removed |          |
c =========================================================================================================
c |       67         0      149 |   28553  1860549  3952262 |     2     5712      835     3519 |  2.130 % |
c |       97        89      206 |   28380  1832933  3895932 |     3    10821     1459     8162 |  2.708 % |
c |      134       165      223 |   28233  1809886  3849125 |     4    13411     2087    15328 |  3.200 % |
c |      193       238      207 |   28136  1789155  3807070 |     5    13683     2704    24890 |  3.524 % |
c |      242       315      206 |   28085  1783294  3794996 |     5    23598     3199    24890 |  3.694 % |
c |      274       383      218 |   27998  1769939  3767942 |     6    21257     3661    37064 |  3.985 % |
c |      335       450      208 |   27937  1763370  3754734 |     7    16335     4052    51854 |  4.189 % |
c |      374       521      213 |   27890  1758800  3745383 |     7    26264     4432    51854 |  4.346 % |
c |      412       596      218 |   27840  1753652  3734862 |     8    18826     4763    69216 |  4.514 % |
c |      457       662      218 |   27791  1747776  3722923 |     8    28755     5070    69216 |  4.677 % |
c
c Try to adapt solver strategies
c 
c Nothing extreme in this problem, continue with glucose default strategies.
c
c |      486       736      226 |   27744  1743363  3713697 |     8    38673     5323    69216 |  4.835 % |
c |      521       808      230 |   27702  1739314  3705363 |     9    28764     5618    89058 |  4.975 % |
c |      550       886      236 |   27674  1734074  3694621 |     9    38681     5880    89058 |  5.069 % |
c |      584       953      239 |   27629  1729071  3684430 |    10    26061     6160   111589 |  5.219 % |
c |      618      1012      242 |   27607  1725321  3676789 |    10    36013     6438   111589 |  5.293 % |
c |      654      1089      244 |   27570  1721906  3669752 |    10    45940     6771   111589 |  5.416 % |
c |      687      1153      247 |   27530  1718231  3662215 |    11    30899     7086   136569 |  5.550 % |
c |      722      1225      249 |   27499  1712502  3650483 |    11    40833     7325   136569 |  5.654 % |
c |      769      1300      247 |   27478  1711795  3649052 |    11    50807     7574   136569 |  5.724 % |
c |      818      1371      244 |   27436  1709381  3644077 |    12    33146     7856   164156 |  5.864 % |
c |      845      1442      248 |   27412  1701171  3627367 |    12    43067     8200   164156 |  5.945 % |
c |      884      1513      248 |   27386  1698536  3622000 |    12    53012     8509   164156 |  6.031 % |
c |      929      1582      247 |   27368  1697360  3619555 |    13    32332     8751   194804 |  6.092 % |
c |      973      1651      246 |   27355  1694935  3614586 |    13    42285     8957   194804 |  6.135 % |
c |     1024      1718      244 |   27347  1694160  3612982 |    13    52260     9192   194804 |  6.162 % |
c |     1087      1778      239 |   27310  1690025  3604421 |    13    62182     9470   194804 |  6.286 % |
c |     1141      1851      236 |   27294  1687746  3599741 |    14    39141     9683   227789 |  6.339 % |
c |     1197      1920      233 |   27269  1685295  3594718 |    14    49090     9958   227789 |  6.423 % |
c |     1259      1986      230 |   27258  1683957  3591970 |    14    59072    10166   227789 |  6.459 % |
c |     1301      2067      230 |   27172  1675574  3574373 |    14    68767    10335   227789 |  6.747 % |
c |     1345      2133      230 |   27159  1674302  3571732 |    15    43272    10537   263253 |  6.790 % |
c |     1389      2204      230 |   27147  1672465  3567969 |    15    53255    10751   263253 |  6.830 % |
c |     1418      2267      232 |   27127  1671078  3565132 |    15    63232    10969   263253 |  6.897 % |
c |     1469      2317      231 |   27116  1668330  3559511 |    15    73193    11164   263253 |  6.934 % |
c |     1518      2375      230 |   27108  1667234  3557287 |    16    44892    11414   301543 |  6.961 % |
c |     1572      2442      229 |   27101  1666299  3555377 |    16    54880    11611   301543 |  6.984 % |
c |     1635      2503      226 |   27085  1663964  3550600 |    16    64857    11791   301543 |  7.038 % |
c |     1687      2563      225 |   27072  1662856  3548310 |    16    74838    12006   301543 |  7.081 % |
