c
c This is glucose 4.0 --  based on MiniSAT (Many thanks to MiniSAT team)
c
c ========================================[ Problem Statistics ]===========================================
c |                                                                                                       |
c |  Number of variables:         48572                                                                   |
c |  Number of clauses:         4126157                                                                   |
c |  Parse time:                   0.65 s                                                                 |
c |                                                                                                       |
c | Preprocesing is fully done
c |  Eliminated clauses:           0.05 Mb                                                                |
c |  Simplification time:          3.93 s                                                                 |
c |                                                                                                       |
c ========================================[ MAGIC CONSTANTS ]==============================================
c | Constants are supposed to work well together :-)                                                      |
c | however, if you find better choices, please let us known...                                           |
c |-------------------------------------------------------------------------------------------------------|
c | Adapt dynamically the solver after 100000 conflicts (restarts, reduction strategies...)               |
c |-------------------------------------------------------------------------------------------------------|
c |                                |                                |                                     |
c | - Restarts:                    | - Reduce Clause DB:            | - Minimize Asserting:               |
c |   * LBD Queue    :     50      |   * First     :   2000         |    * size <  30                     |
c |   * Trail  Queue :   5000      |   * Inc       :    300         |    * lbd  <   6                     |
c |   * K            :   0.80      |   * Special   :   1000         |                                     |
c |   * R            :   1.40      |   * Protected :  (lbd)< 30     |                                     |
c |                                |                                |                                     |
c ==================================[ Search Statistics (every  10000 conflicts) ]=========================
c |                                                                                                       |
c |          RESTARTS           |          ORIGINAL         |              LEARNT              | Progress |
c |       NB   Blocked  Avg Cfc |    Vars  Clauses Literals |   Red   Learnts    LBD2  Removed |          |
c =========================================================================================================
c |       66         0      151 |   47601  4125357  8434046 |     2     6010      777     3583 |  1.176 % |
c |      124        86      161 |   47481  4125357  8434046 |     3    11143     1269     8368 |  1.423 % |
c |      167       174      179 |   47301  3993499  8168511 |     4    13585     1746    15462 |  1.793 % |
c |      207       248      193 |   47172  3993499  8168511 |     5    13993     2109    24974 |  2.059 % |
c |      246       330      203 |   47059  3938462  8057547 |     5    23620     2533    24974 |  2.291 % |
c |      289       418      207 |   46968  3901584  7983424 |     6    21221     2933    37120 |  2.479 % |
c |      326       489      214 |   46911  3901584  7983424 |     7    16334     3258    51968 |  2.596 % |
c |      373       569      214 |   46859  3886345  7952713 |     7    26252     3543    51968 |  2.703 % |
c |      424       655      212 |   46790  3868269  7916400 |     8    18956     3817    69137 |  2.845 % |
c |      484       709      206 |   46694  3868269  7916400 |     8    28888     4157    69137 |  3.043 % |
c
c Try to adapt solver strategies
c 
c Nothing extreme in this problem, continue with glucose default strategies.
c
c |      538       786      204 |   46649  3845963  7871717 |     8    38764     4473    69137 |  3.136 % |
c |      600       853      200 |   46601  3845963  7871717 |     9    28932     4733    88943 |  3.234 % |
c |      626       932      207 |   46565  3833677  7847052 |     9    38826     4991    88943 |  3.308 % |
c |      659       998      212 |   46498  3823486  7826551 |    10    25907     5225   111755 |  3.446 % |
c |      696      1075      215 |   46437  3807589  7794667 |    10    35776     5500   111755 |  3.572 % |
c |      735      1145      217 |   46370  3807589  7794667 |    10    45732     5739   111755 |  3.710 % |
c |      765      1218      222 |   46299  3784447  7748321 |    11    30484     5981   136805 |  3.856 % |
c |      800      1299      225 |   46271  3772692  7724738 |    11    40378     6186   136805 |  3.914 % |
c |      833      1363      228 |   46240  3766228  7711770 |    11    50294     6372   136805 |  3.978 % |
c |      858      1430      233 |   46199  3766228  7711770 |    12    33016     6609   164054 |  4.062 % |
c |      898      1496      233 |   46158  3756736  7692740 |    12    42951     6830   164054 |  4.146 % |
c |      934      1568      235 |   46124  3746264  7671729 |    12    52849     7002   164054 |  4.216 % |
c |      969      1635      237 |   46112  3739826  7658808 |    13    32308     7197   194529 |  4.241 % |
c |     1006      1699      238 |   46089  3737219  7653587 |    13    42280     7355   194529 |  4.288 % |
c |     1055      1751      236 |   46065  3729439  7637966 |    13    52225     7513   194529 |  4.338 % |
c |     1094      1813      237 |   46033  3729439  7637966 |    13    62202     7704   194529 |  4.404 % |
c |     1123      1884      240 |   46003  3721773  7622488 |    14    39258     7879   227376 |  4.466 % |
c |     1166      1946      240 |   45957  3712955  7604736 |    14    49138     8084   227376 |  4.560 % |
c |     1223      2014      237 |   45935  3702306  7583438 |    14    59062     8259   227376 |  4.606 % |
c |     1272      2082      235 |   45905  3694735  7568279 |    14    69003     8423   227376 |  4.667 % |
c |     1294      2160      239 |   45855  3680006  7538739 |    15    43367     8650   262905 |  4.770 % |
c |     1338      2221      239 |   45829  3677309  7533242 |    15    53316     8855   262905 |  4.824 % |
c |     1377      2282      239 |   45783  3673337  7525246 |    15    63257     9057   262905 |  4.919 % |
c |     1413      2354      240 |   45759  3667173  7512824 |    15    73204     9215   262905 |  4.968 % |
c |     1438      2409      243 |   45740  3663402  7505240 |    16    44567     9406   301502 |  5.007 % |
c |     1468      2463      245 |   45715  3660342  7499053 |    16    54524     9591   301502 |  5.058 % |
c |     1498      2537      246 |   45696  3658702  7495684 |    16    64486     9817   301502 |  5.098 % |
c |     1526      2590      249 |   45678  3655179  7488568 |    16    74450     9942   301502 |  5.135 % |
